id,FAM1,WTB11,WTB12,WTB13,SE11,SE12,SE13,SEA1,WTBA1,FAM2,WTB21,WTB22,WTB23,SE21,SE22,SE23,SEA2,WTBA2,FAM3,WTB31,WTB32,WTB33,SE31,SE32,SE33,SEA3,WTBA3,C1,C2,C3,C4,Condition,CONNUM
1,3,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,5,5,5,5,4,3,23,2,3,B,0
2,1,5,4,5,4,4,4,4,4.666666667,5,5,4,4,4,4,4,4,4.333333333,5,7,7,7,5,5,5,5,7,3,909,1,1,B,0
3,5,5,5,5,4,4,4,4,5,5,7,7,7,5,5,5,5,7,5,6,6,6,5,5,5,5,6,2,21,3,1,A,1
4,3,2,2,1,5,5,5,5,1.666666667,2,5,5,4,1,1,5,2.333333333,4.666666667,4,5,5,5,4,4,4,4,5,1,21,3,2,B,0
5,5,7,7,7,3,3,3,3,7,5,5,4,4,1,1,1,1,4.333333333,5,3,3,3,3,3,3,3,3,2,435,2,3,A,1
6,1,2,3,2,3,1,1,1.666666667,2.333333333,2,5,2,2,1,1,2,1.333333333,3,2,1,1,1,1,1,2,1.333333333,1,3,23,1,4,B,0
7,4,5,6,5,3,3,4,3.333333333,5.333333333,4,6,6,5,2,2,3,2.333333333,5.666666667,4,6,5,6,3,3,4,3.333333333,5.666666667,2,23,1,3,B,0
8,3,4,4,3,5,5,3,4.333333333,3.666666667,2,2,2,1,3,4,1,2.666666667,1.666666667,1,5,5,3,3,4,3,3.333333333,4.333333333,1,25,1,4,A,1
9,4,3,3,2,1,1,1,1,2.666666667,5,6,6,3,3,3,3,3,5,4,6,6,5,4,4,4,4,5.666666667,2,24,2,4,B,0
10,5,2,6,2,5,5,5,5,3.333333333,2,4,3,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,24,2,3,B,0
11,2,1,1,1,3,1,4,2.666666667,1,3,2,1,1,2,2,3,2.333333333,1.333333333,2,1,1,1,2,3,3,2.666666667,1,1,21,1,3,B,0
12,3,5,5,2,5,5,5,5,4,3,2,3,2,5,5,5,5,2.333333333,1,5,5,2,3,3,3,3,4,2,24,2,4,A,1
13,5,6,6,6,5,5,5,5,6,5,7,7,7,5,5,5,5,7,3,5,5,6,3,3,3,3,5.333333333,3,22,2,3,B,0
14,2,6,4,6,3,3,4,3.333333333,5.333333333,2,6,2,2,3,2,3,2.666666667,3.333333333,4,6,5,6,3,2,4,3,5.666666667,1,35,2,4,A,1
15,5,2,2,2,4,3,3,3.333333333,2,3,4,3,2,3,2,3,2.666666667,3,2,2,2,3,3,1,2,2,2.333333333,3,19,2,2,B,0
16,2,3,3,3,2,2,2,2,3,4,7,7,7,3,3,5,3.666666667,7,4,7,7,7,5,4,4,4.333333333,7,2,25,2,3,A,1
17,4,4,4,2,3,3,3,3,3.333333333,4,5,5,3,3,3,3,3,4.333333333,4,6,5,4,3,3,3,3,5,2,24,2,2,A,1
18,4,2,2,2,4,3,2,3,2,1,5,5,6,2,2,4,2.666666667,5.333333333,5,5,6,5,4,5,4,4.333333333,5.333333333,2,23,1,3,A,1
19,2,6,6,3,4,3,4,3.666666667,5,2,3,4,1,4,4,4,4,2.666666667,2,4,4,2,2,2,1,1.666666667,3.333333333,1,25,1,3,A,1
20,3,6,6,6,2,3,3,2.666666667,6,5,7,7,7,3,3,3,3,7,2,6,6,6,3,3,3,3,6,3,23,2,3,A,1
21,3,6,6,4,2,2,2,2,5.333333333,4,6,6,4,3,3,3,3,5.333333333,3,2,2,2,3,2,3,2.666666667,2,3,22,2,3,B,0
22,1,3,3,4,2,1,1,1.333333333,3.333333333,4,6,6,6,5,4,4,4.333333333,6,5,5,5,5,3,3,4,3.333333333,5,1,37,1,4,A,1
23,2,5,5,3,3,2,3,2.666666667,4.333333333,4,6,6,5,4,4,4,4,5.666666667,4,6,6,3,3,3,4,3.333333333,5,2,26,2,4,A,1
24,5,2,2,4,2,1,3,2,2.666666667,5,4,6,4,3,3,3,3,4.666666667,5,4,4,4,2,2,3,2.333333333,4,2,24,2,3,B,0
25,3,2,1,1,5,4,5,4.666666667,1.333333333,3,3,2,1,3,4,3,3.333333333,2,4,5,6,3,4,4,4,4,4.666666667,2,25,1,2,A,1
26,5,2,2,2,4,4,4,4,2,3,2,2,1,1,1,1,1,1.666666667,2,2,2,2,3,3,2,2.666666667,2,2,25,2,3,A,1
27,3,2,3,2,4,4,4,4,2.333333333,2,4,4,4,4,4,4,4,4,3,2,2,2,3,3,3,3,2,1,24,2,4,A,1
28,2,5,3,1,3,2,3,2.666666667,3,4,7,6,1,5,5,5,5,4.666666667,2,4,5,1,3,4,3,3.333333333,3.333333333,3,24,2,3,B,0
29,3,2,2,1,3,2,2,2.333333333,1.666666667,5,7,7,4,4,4,3,3.666666667,6,3,5,5,5,3,3,3,3,5,2,24,2,3,B,0
30,2,6,6,4,4,3,3,3.333333333,5.333333333,3,6,6,6,3,3,3,3,6,3,5,6,6,2,2,2,2,5.666666667,2,23,2,4,A,1
31,3,4,6,5,4,3,4,3.666666667,5,4,6,7,5,5,5,5,5,6,4,7,6,4,2,2,2,2,5.666666667,1,25,1,3,A,1
32,2,2,1,4,2,2,2,2,2.333333333,1,2,1,1,3,3,2,2.666666667,1.333333333,1,4,3,2,2,2,3,2.333333333,3,1,25,1,4,B,0
33,2,4,4,5,3,2,2,2.333333333,4.333333333,4,4,4,5,5,4,3,4,4.333333333,5,4,5,5,5,4,5,4.666666667,4.666666667,2,25,2,3,A,1
34,2,5,6,5,3,3,3,3,5.333333333,5,7,7,7,4,5,5,4.666666667,7,5,3,3,3,4,4,4,4,3,3,24,2,3,B,0
35,3,4,3,2,2,3,3,2.666666667,3,4,6,6,6,3,3,4,3.333333333,6,4,7,7,7,4,4,4,4,7,2,22,1,2,B,0
36,2,2,2,1,1,1,1,1,1.666666667,3,6,7,4,4,3,4,3.666666667,5.666666667,5,4,5,4,3,3,4,3.333333333,4.333333333,1,26,2,3,B,0
37,3,5,2,5,4,3,2,3,4,4,6,7,7,5,5,5,5,6.666666667,4,5,6,6,4,4,4,4,5.666666667,3,54,2,2,A,1
38,1,2,5,1,2,1,1,1.333333333,2.666666667,2,6,6,1,2,2,1,1.666666667,4.333333333,1,1,5,1,4,4,4,4,2.333333333,1,69 años ,1,1,B,0
39,4,3,3,2,4,4,4,4,2.666666667,2,2,2,2,3,2,3,2.666666667,2,4,1,1,1,2,2,1,1.666666667,1,3,24,1,2,B,0
40,4,2,2,2,2,2,2,2,2,3,6,6,4,3,3,3,3,5.333333333,4,3,4,4,3,3,3,3,3.666666667,2,59,1,2,B,0
41,3,7,5,5,2,2,3,2.333333333,5.666666667,2,3,3,2,3,2,2,2.333333333,2.666666667,4,5,4,4,1,1,2,1.333333333,4.333333333,1,22,1,2,A,1
42,1,7,7,6,4,3,4,3.666666667,6.666666667,4,7,7,6,4,4,3,3.666666667,6.666666667,4,7,7,6,4,4,4,4,6.666666667,2,62,2,1,A,1
43,4,6,6,4,5,4,4,4.333333333,5.333333333,4,7,6,4,5,3,3,3.666666667,5.666666667,5,5,5,4,3,3,3,3,4.666666667,3,55,2,3,B,0
44,2,5,5,3,3,3,3,3,4.333333333,2,5,5,5,3,3,3,3,5,4,6,6,5,3,3,3,3,5.666666667,3,25,1,3,A,1
45,1,7,7,7,3,3,3,3,7,4,7,7,2,4,5,3,4,5.333333333,5,7,7,2,5,4,4,4.333333333,5.333333333,2,50,1,5,A,1
46,1,7,7,7,5,5,3,4.333333333,7,4,7,7,1,5,5,3,4.333333333,5,5,7,7,2,5,5,4,4.666666667,5.333333333,2,47,2,3,A,1
47,5,6,5,5,3,3,3,3,5.333333333,4,6,6,6,4,4,3,3.666666667,6,5,6,6,6,4,4,4,4,6,1,51,1,1,B,0
48,4,5,5,3,3,3,3,3,4.333333333,3,5,5,4,4,4,4,4,4.666666667,4,5,5,4,3,3,3,3,4.666666667,2,22,1,3,A,1
49,5,6,3,2,3,3,4,3.333333333,3.666666667,5,3,2,2,4,4,4,4,2.333333333,5,7,2,2,4,4,3,3.666666667,3.666666667,1,21,2,3,A,1
50,3,5,2,2,4,3,4,3.666666667,3,4,6,6,5,4,4,4,4,5.666666667,1,6,5,4,3,4,4,3.666666667,5,2,28,1,4,A,1
51,2,3,3,2,1,1,1,1,2.666666667,4,6,6,7,4,4,2,3.333333333,6.333333333,1,1,1,1,2,2,2,2,1,2,24,2,3,B,0
52,2,2,1,1,1,2,1,1.333333333,1.333333333,5,5,6,2,3,3,2,2.666666667,4.333333333,1,1,1,1,1,1,1,1,1,1,18,2,2,B,0
53,4,5,5,5,3,4,4,3.666666667,5,3,5,5,6,3,3,3,3,5.333333333,1,5,3,5,1,1,1,1,4.333333333,3,28,1,4,B,0
54,5,6,7,1,5,5,5,5,4.666666667,5,7,7,3,5,5,5,5,5.666666667,5,5,4,1,4,5,5,4.666666667,3.333333333,3,22,1,3,A,1
55,4,2,2,1,3,2,3,2.666666667,1.666666667,1,4,3,2,3,1,1,1.666666667,3,5,6,5,5,4,4,4,4,5.333333333,1,26,1,3,A,1
56,4,5,4,6,5,2,3,3.333333333,5,3,7,7,7,5,5,5,5,7,5,6,7,6,5,5,5,5,6.333333333,1,21,3,2,B,0
57,5,4,1,4,3,1,1,1.666666667,3,4,4,7,7,3,5,5,4.333333333,6,4,7,7,7,5,5,5,5,7,2,21,1,3,B,0
58,2,5,2,2,4,4,4,4,3,5,7,7,7,5,5,5,5,7,5,7,6,6,5,5,5,5,6.333333333,3,20,2,2,A,1
59,4,2,2,2,3,3,4,3.333333333,2,4,3,4,3,3,4,1,2.666666667,3.333333333,2,2,1,2,2,2,1,1.666666667,1.666666667,2,15,2,1,B,0
60,3,3,4,1,3,1,2,2,2.666666667,4,2,5,1,3,2,3,2.666666667,2.666666667,3,2,2,1,1,1,1,1,1.666666667,1,16,2,2,B,0
61,1,4,3,5,4,2,3,3,4,3,6,6,5,4,3,2,3,5.666666667,5,2,2,1,5,3,4,4,1.666666667,1,18,2,2,B,0
62,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,3,4,5,5,5,4,4,4,4,5,1,27,2,3,A,1
63,5,3,4,3,4,3,4,3.666666667,3.333333333,5,7,6,5,4,3,3,3.333333333,6,2,5,5,3,2,2,3,2.333333333,4.333333333,1,16,1,2,B,0
64,5,6,7,4,5,5,5,5,5.666666667,5,4,5,3,3,3,3,3,4,5,6,7,5,3,4,3,3.333333333,6,2,31,2,1,B,0
65,4,4,4,2,1,1,1,1,3.333333333,4,5,3,3,4,3,3,3.333333333,3.666666667,2,5,5,2,2,2,2,2,4,2,21,2,3,B,0
66,4,6,6,4,3,3,3,3,5.333333333,4,6,6,5,5,5,5,5,5.666666667,2,5,5,1,2,2,2,2,3.666666667,2,21,2,2,A,1
